technique_id,technique_name,tactic,families
T1012,,,ADVSTORESHELL|Attor|Azorult|BACKSPACE|BabyShark|Bankshot|Bazar|BendyBear|Bisonal|BitPaymer|BlackByte Ransomware|Brave Prince|Bumblebee|CHOPSTICK|Carbanak|Carberp|Carbon|Cardinal RAT|CharmPower|Clambling|Cobalt Strike|ComRAT|Crimson|DUSTTRAP|DarkWatchman|Denis|Derusbi|DownPaper|Dtrack|Epic|FELIXROOT|FatDuke|FinFisher|FunnyDream|Gelsemium|Gold Dragon|HOPLIGHT|Hydraq|Industroyer|InvisiMole|JPIN|Kapeka|LiteDuke|LitePower|Lucifer|Mafalda|Milan|Mori|OSInfo|POWERSOURCE|POWRUNER|PUBLOAD|Pillowmint|PlugX|Proxysvc|QUADAGENT|QUIETCANARY|Qilin|RATANKBA|REvil|ROKRAT|Raccoon Stealer|Reaver|RedLine Stealer|Rising Sun|SUNBURST|SVCReady|Saint Bot|Samurai|Shamoon|Shark|Sibot|SodaMaster|StoneDrill|Stuxnet|SynAck|TEARDROP|TRANSLATEXT|Taidoor|TinyTurla|Uroburos|Ursnif|Valak|Volgmer|WINDSHIELD|WastedLocker|Waterbear|Woody RAT|Zebrocy|Zeus Panda|ZxShell|ZxxZ|gh0st RAT|njRAT
T1014,,,COATHANGER|Carberp|Caterpillar WebShell|Drovorub|Ebury|HIDEDRV|Hacking Team UEFI Rootkit|HiddenWasp|Hikit|Hildegard|Line Dancer|LoJax|MEDUSA|PoisonIvy|REPTILE|Ramsay|Skidmap|Stuxnet|Umbreon|Uroburos|WarzoneRAT|Winnti for Linux|Zeroaccess
T1016,,,Action RAT|Agent Tesla|Agent.btz|Amadey|Anchor|AppleSeed|Aria-body|Astaroth|Avaddon|Avenger|Azorult|BADCALL|BADFLICK|BLINDINGCAN|BLUELIGHT|BOLDMOVE|BabyShark|Backdoor.Oldrea|Bandook|Bazar|Bisonal|BlackEnergy|Bonadan|BoxCaon|Brave Prince|Calisto|Carbon|Catchamas|Caterpillar WebShell|CharmPower|Chrommme|Clambling|Cobalt Strike|Comnie|Conti|CreepySnail|Crimson|Cuba|Cyclops Blink|DEADEYE|DUSTTRAP|Denis|Diavol|Dtrack|Duqu|Dyre|EKANS|Elise|Emissary|Epic|Explosive|FALLCHILL|FELIXROOT|FatDuke|Felismus|Flagpro|FunnyDream|GeminiDuke|GoldMax|Gomir|Gootloader|Grandoreiro|GravityRAT|Green Lambert|GrimAgent|Havoc|HexEval Loader|HotCroissant|Hydraq|IceApple|IcedID|Industroyer|InvisiMole|InvisibleFerret|Ixeshe|J-magic|JHUHUGIT|JPIN|KEYMARBLE|KONNI|KOPILUWAK|Kazuar|Kessel|Kevin|KeyBoy|Kobalos|Kwampirs|LAMEHUG|LODEINFO|Latrodectus|LightNeuron|LiteDuke|Lizar|Lokibot|LoudMiner|Lucifer|LunarLoader|LunarWeb|MacMa|Machete|Mafalda|MagicRAT|Manjusaka|Milan|Mis-Type|MoonWind|More_eggs|Mosquito|NETWIRE|NGLite|NOKKI|Naid|NanHaiShu|NanoCore|Neoichor|Nightdoor|Ninja|OSInfo|OSX_OCEANLOTUS.D|OceanSalt|Octopus|Okrum|Olympic Destroyer|Orz|PLAINTEE|POWERSTATS|POWRUNER|PUBLOAD|Pay2Key|Penquin|Pikabot|PingPull|PipeMon|Pisloader|PlugX|PowerDuke|PowerShower|Prikormka|Proxysvc|Pysa|QUADAGENT|QUIETCANARY|QakBot|Qilin|RATANKBA|Ramsay|Reaver|RedLeaves|RedLine Stealer|Remsec|Revenge RAT|Rifdoor|Rising Sun|RogueRobin|Royal|Ryuk|S-Type|SDBbot|SHARPSTATS|STARWHALE|SUNBURST|Sagerunex|Saint Bot|Sardonic|ShadowPad|Shamoon|ShrinkLocker|Sibot|SideTwist|Small Sieve|SocGholish|SoreFang|SpeakUp|SpicyOmelette|Squirrelwaffle|StrongPity|Stuxnet|Sykipot|Sys10|SysUpdate|T9000|TSCookie|Taidoor|TajMahal|Torisma|TrickBot|Trojan.Karagany|Troll Stealer|Turian|UPPERCUT|USBferry|Unknown Logger|VERMIN|Valak|Volgmer|WannaCry|WellMail|WellMess|Woody RAT|XORIndex Loader|Xbash|Zebrocy|ZeroT|cd00r|down_new|iKitten|jRAT|xCaon|yty|zwShell
T1016.001,,,DarkTortilla|GoldFinder|Havoc|More_eggs|NKAbuse|Neoichor|PUBLOAD|QakBot|QuietSieve|Rising Sun|SUGARUSH|SysUpdate|Woody RAT
T1016.002,,,Agent Tesla|CharmPower|Emotet|Machete|PUBLOAD
T1018,,,BADHATCH|Backdoor.Oldrea|Bazar|BitPaymer|Black Basta|BlackCat|Carbon|Cobalt Strike|Comnie|Conti|DRATzarus|DUSTTRAP|Diavol|Epic|Flagpro|FunnyDream|Gomir|Havoc|HermeticWizard|Industroyer|Kinsing|Kwampirs|LODEINFO|MURKYTOP|MgBot|OSInfo|Olympic Destroyer|PoetRAT|QakBot|Qilin|RATANKBA|RansomHub|Remsec|SHOTPUT|Shamoon|SpicyOmelette|Sykipot|TAINTEDSCRIBE|TrickBot|USBferry|WannaCry|njRAT|yty
T1020,,,Attor|CosmicDuke|Crutch|Doki|Ebury|Hannotog|LightNeuron|Machete|OutSteel|Peppy|Raccoon Stealer|Rover|Solar|StrelaStealer|StrongPity|TINYTYPHON|TajMahal|USBStealer
T1021,,,Kivars|MacMa|Stuxnet
T1021.001,,,Carbanak|Cobalt Strike|DarkComet|Pysa|Revenge RAT|SDBbot|ServHelper|WarzoneRAT|ZxShell|jRAT|njRAT|reGeorg|zwShell
T1021.002,,,Anchor|BlackByte Ransomware|BlackEnergy|Cobalt Strike|Conficker|Conti|Diavol|Duqu|Emotet|HermeticWizard|Kwampirs|LockBit 2.0|LockBit 3.0|Lucifer|Net Crawler|NotPetya|Olympic Destroyer|Qilin|RansomHub|Regin|Royal|Ryuk|Shamoon|Stuxnet|Zox|reGeorg|zwShell
